Reference;publication_year;response_variable;Response variavel datail;statistical_parameter;Explanatory variable;Process studied;Process suggested;data;Forest types;Area;Time span;Time period;Linear/Non-linear;Explanation
Klisz et al 2022;2022;Secondary Tree growth ;tree rings - annual;YES - moving correlations Fig 6;temperatures, precipitation, SPEI;;Acclimation;Dendrochronology;Conifer species (Pinus sylvestris native others alien to poland);Poland;1910-2020;;;Temporal variation in drought response is species specific. Suggest acclimation of non native species
"Piovesan G.; Rita A.; Biondi F.; Baliva M.; Borghetti M.; Brunetti M.; De Vivo G.; Di Filippo A.; Dinella A.; Gentilesca T.; Maugeri M.; Palli J.; Piotti A.; Saba E.P.; Ripullone F.; Schettino A.; Vendramin G.G.";2023;Secondary Tree growth ;tree rings - annual;NO;;;;Dendrochronology;;;;;;classic moving window correlations
"Xu S.; Gentine P.; Li L.; Wang L.; Yu Z.; Dong N.; Ju Q.; Zhang Y.";2023;Biomass stock and fluxes;GPP;YES -sensitivity to vpd an sm on normal vs dry years  Fig 4;Soil moisture;Stomatal behaviour;plant stomatal behavior, as predicted by a stomatal conductance model;Eddy-covariance tower;From humid to grasslands;;;;Dicen non-linear el comparar drought y no drought. es sinonimo de non-stationary (seria igual q el paper de julen comparando dos periodos);AQUI COMPARA AÑOS SECOS CON AÑOS NORMALES. DICE Q EL VPD ES MAS INFLUYENTE EN AÑOS SECOS, VER FIGURA 4. NO SE SI ESTO LO PODEMOS CONSIDERAR NON-STATIONARY. Humid and mesic ecosystems including forests and grasslands are dominated by VPD, while the semi-arid and arid ecosystems including shrublands and savannas are dominated by SM. non-linear impact of SM on GPP during droughts and the possible underestimation of the SM effects for deep-rooted plants when only using surface-layer SM. 
"Moreau G.; Achim A.; Pothier D.";2020;Secondary Tree growth ;tree rings - annual;YES - moving correlations Fig 2 & 3;Drought and thaw freeze;;;Dendrochronology;maple tree;Canada;;;;We also investigated the temporal variability of growth–climate relationships using response functions with a 25-yr moving window.  non-stationary relationship between climatic conditions and tree growth, the analysis from daily-level metrics showed that climatic stress events, and more particularly thaw–freeze events, were strongly related to the growth of sugar maple trees. ur results suggest that the synergic influence of cumulative climatic stress events, which was exacerbated by insect outbreaks during the early 1980s, induced an important shift in the growth dynamics of sugar maple and in its response to variation in climatic conditions. These results highlight the potential negative impact of global climate change on our capacity to predict stand productivity accurately, especially if climate-sensitive growth models are based on projections of future monthly metrics. Because adverse climatic events are expected to increase both in frequency and in severity over the next decades, a general decrease in the growth rate of sugar maple is apprehended in southern
"Oogathoo S.; Houle D.; Duchesne L.; Kneeshaw D.";2020;Physiological activity;transpiration (sap flow velocity);YES - R2 moving (15) days sapflow vs environment. Fig 8- ;drought effects (vapor pressure deficit (VPD) and standardized precipitation-evapotranspiration index (SPEI)) ;;;Physiology;balsam fir + black spruce;Quebec;;;;.VER FIGURA 3 donde comparan coeficientes a lo largo de los años. Además comparan relaciones en un año de seqía y ven que los coeficientes de determinación de la relacion vpd y radiacion con sapflow disminuyen al final de la sequia.  ESTO NO ES DE ESTE PAPER -->Using tree-ring climatology method and non-linear models based on maximum likelihood analysis etc., the relationship between the tree-ring growth and competition index and climatic factors and their relative importance were evaluated in different years-interval and climate-zone. The results showed that the competitive effect for trees growth was always much stronger than the climatic or size effect. Competitive effects change over time, with drought effects (vapor pressure deficit (VPD) and standardized precipitation-evapotranspiration index (SPEI)) on tree growth exacerbated. The significant negative effects of neighborhood competition gradually increased over time. Climate moderates competitive effects during stand development, especially the negative effects of drought index on trees. Trees decline in growth due to climate warming with temperature and precipitation changes, and mainly, increased competition. Overall, these results constitute important new information, which not only further deepe
"Weigel R.; Irl S.D.H.; Treydte K.; Beierkuhnlein C.; Berels J.; Field R.; Miranda J.C.; Steinbauer A.; Steinbauer M.J.; Jentsch A.";2021;Secondary Tree growth ;ADF;NO;"Palmer Drought Severity Index (PDSI; indicating aridity) and sea surface temperature (indicating trade wind-influenced moderation of water supply), ";;;Dendrochronology;P. canariensis;;;;;NO MIRAN TEMPORAL NON STATIONARY DE MNERA EXPLICITA growth of P. canariensis on the Canary Islands is more frequently interrupted by winter cold at high elevations and by summer drought at low elevations than in the trade wind-influenced mid elevations, where growth sometimes continues throughout the year. Climate change-associated alterations in trade wind cloud formation might cause non-analogue growth limitations for many unique island species.
"Cao S.; Yi H.; Zhang L.; Sun Q.; Zhang Y.; Li H.; Wei X.; Liu Y.";2023;Biomass stock and fluxes;NPP y NEP trend - NDVI;NO;drought fluorescence monitoring index (DFMI) ;;;Remote sensing;;;;;;DUDA DE SI MUCHOS ESTUDIOS ASI NO HAN ENTRADO. Drought fluorescence monitoring index (DFMI) was developed to examine the relationship between vegetation NEP and drought response based on the solar-induced chlorophyll fluorescence (SIF) data. Our results suggested that vegetation carbon sinks increased significantly at 7.09 g C m?2 yr?1 in NWC during 2000–2019, mainly in northern Shaanxi, eastern and southern Gansu, and southern Ningxia. NEP showed increasing trends under different climatic zones and land cover types, but there were differences in carbon sink capacity.is study emphasizes the demand to rapidly identify climatic conditions that lead to decrease significantly in vegetation carbon sinks and to formulate adaptation strategies aimed at reducing drought risk under global warming
Liu et al. 2022;2022;Biomass stock and fluxes;NEP, GEP and ecosustem respiration;YES - running time window Fig 4 & 7;Air and soil temperature, precipitation, soil water storage, air humidity;;Changes in structure, with increasing importance of the understory, affected the relationship between production and temperature.;Eddy-covariance tower;Deciduous boreal forests (Populus tremuloides);Canada (Saskatchewan);21 years;1996-2016;;"The decreasing temperature sensitivity of the C fluxes may 
reflect changes in forest structure, related to the over-maturity of the aspen stand at 
100?years of age, and exacerbated by high tree mortality following the severe 2001–
2003 drought. Extreme long-lasting droughts impact C fluxes modifying stand structure and C allocation. Non-stationary response of ecosystem productivity and respiration to temperature."
Matisons et al. 2021 (Forests);2021;Secondary Tree growth ;tree rings-annual;YES - moving correlations (sup info);Mean monthly temperature, precipitation sum and SPEI;Patterns;"Regional specialisation and adaptability; aging";Dendrochronology;Picea abies stands;S Finland-N Germany;64 years;1954-2017;;Moving window correlations. Weather-growth relationship non-stationary in general (both spatially and temporally). Disproportionate response to drought. In contrast, warming may enhance growth. Mediated by local specialisation.
Chen et al. 2017;2017;Secondary Tree growth ;tree rings - annual - density;YES - moving correlations, Fig 6;Mean monthly temperature and precipitation;Just patterns;;Dendrochronology;Picea crassifolia stands;NE Tibetan Plateau (China);255-284 years;;;NO TENGO ACCESO AL PAPER. Non-linear responses of tree growth to temperature at arid sites
Gantois 2022;2022;Secondary Tree growth ;tree rings - annual;NO ;"Monthly precipitation; daily minimum and maximum temperatures downscaled from monthly values; SPEI";None, just patterns;None;Dendrochronology;Subtropical, temperate and mediterranean forests/woodlands;Conterminous USA;114 years;1903-2016;;"MIRAR BIEN MODELOS Y QUE ES LO QUE MIRAN. for a one standard deviation increase in early exposure—which corresponds for example to 
an extra 8.6 degree days above 32°C experienced annually during 
the first 10?years of life—the harmful impact of high temperatures 
later in life increases by 12% or 0.08 percentage points Non-linear response of tree-growth to temperature; if too warm, tree growth declines. Drought enhances this effect. No evidence of acclimation."
Gea-Izquierdo et al. 2011;2011;Secondary Tree growth ;tree rings - annual ;YES - moving correlations, Appendix A6;Hydrological year precipitation;None, just patterns;Weakly suggested, but physiological;Dendrochronology;Quercus ilex;W Spain;100 years;1950-2003  (shared period);;"These correlations
increased in the last years (Appendix A6). VER FIGURA A6. Ver bien el efecto temporal comparando clases de edad. Increased T at warmer sites reduced growth due to increasing water stress. Asymptotic curves in response to precipitation."
Braun et al. 2017;2017;Secondary Tree growth ;stem diameter increments;NO ;ETa/ETp in the first 85 days of the growing season;;;Permanent plots;Fagus sylvatica L. and Picea abies Karst.;Switzerland;30 year time series;1984-2014;Non-linear, but could also be referred to as non-stationary;DUDO MUCHO. PERO NO MIRA TEMPORAL. The results show clear non-linear effects of N deposition on stem increment of European beech and Norway spruce as well as strong interactions with climate which have contributed to the growth decrease in beech and may get more important in future (see fig. 3b)
Vanoni et al. 2016;2016;Secondary Tree growth ;tree rings - annual;NO ;Standardized Precipitation Evapotranspiration Index (SPEI);;;Dendrochronology;six coniferous species (Abies alba, Picea abies, Larix decidua, Pinus sylvestris, Pinus cembra, Pinus montana) and three broadleaved species (Fagus sylvatica, Quercus spp., Acer pseudoplatanus);Switzerland;;;;ATTRIBUTE NON STATIONARY GROWTH TO EXTREM EVENTS. PER DISCUSSIONThey look for change in growth across time, due to extreme events, an how this is related to tree mortality. The results indicate for many species that both drought and frost have a moderate to major impact on abrupt growth decreases prior to tree death. They talked about abrupt growth decreases instead of non-linear but I think is fine
Lasky et al. 2016;2016;Phenology;flowering and seed rain;NO ;Rainfall;;;Permanent plots;Tropical dry forest;Puerto Rico;3 year time-series;2013-2015;Non-stationary es para especies;Flowering change over time. We observe non-stationary in fig 6. PERO DISCUTIRFlowering was not as strongly reduced in the drought as was seed rain (figure 2), indicating median species seed rain showed stronger than linear declines associated with drought
Rita et al. 2016 DUDA;2016;Secondary Tree growth ;wood anatomuy hydraulic properties;NO ;Temperature and precipitation;;;Dendrochronology;Quercus spp.;Southern Italy;;;Non-linear, but could also be referred to as non-stationary;Vale el efecto de la temperatura es no lineal. ?pero cambia en el tiempo?? Discutirncrease in temperature led to non-linear decrease in the specific hydraulic conductivity (Ks) (Figure 2). Not droughts, but anyway...
Adams et al. 2017 DUDA;2017;Mortality seedling;;NO ;temperature;Impact of increasing temperature under dry conditions on seedling mortality;;Experimental;Pinus ponderosa, P. edulis;SW USA;;;;Es una relacion no lineal pero es no estacionaria? Yo creo que esto es algo como SFTS. No se si incluirlo. The frequency of length of drought is not linear, so increased mortality with raising temperatures will mean more frequent widespread mortality episodes.
Williams et al. 2009  DUDA;2009;Vegetation cover;;NO ;Palaeoclimatic reconstructions;Patterns of change of the forest/prairie ecotone;Asymmetric responses of forests to past dry/wet oscillations;Palaeocology;Prairie-forest ecotone;Great Plains of North America;;Holocene;;Abrupt decrease in woodland cover between 10,000 and 8000 years ago and eastward shift of the forest-prairie ecotone associated with drier conditions (likely fire or die-off occurrence). Later, much slower forest recovery under moister conditions since 6000 years ago.
Carevic et al. 2014 misma duda no estacionariedad DUDA;2014;Acorn production;;YES - relationshi PLC and Acorn production varies across years - PLC varies during drought;Hydraulic conductivity, gas exchange;Influence of plant hydraulic status on acorn production;Physiological mechanisms;Tree inventory;Quercus ilex;SW Spain;3 years (measurements every 6-7 weeks);I-2006--I-2009;;Non-linear relationship between hydraulic conductivity during summer water stress and acorn production. Threshold beyond which there is no recovery.
Carnicer et al. 2019;2019;Biomass stock and fluxes;dervide from dendro and allometric equations;NO ;SPEI;Regime shifts in C forest uptake and atmospheric teleconnections (ENSO);;Dendrochronology;Pinus halepensis;continental Spain;63 years;1950--2012;;Non-linear regime shift in the 1980s causing a notable (>30%) reduction in C sink magnitude. Forced by ENSO via the AMO.
Ravaioli  DUDA;2019;Secondary Tree growth;;NO ;SPEI SPI;;;Dendrochronology;Pseudotsuga mensiezii;;;;;Non-linera effects of SPEI. Use GAMM. Ver fig 5. 
Hogan et al. 2024;2024;Biomass stock and fluxes;diferrences in abovegroaund biomass betrween census;NO ;PDSI, MAP, MAT;;;NFI;;USA (FIA);;1999-2020;Relacionas cambios en biomasa con cambios estructurales y de disturbance. ;Show how productivity trends change as a functino of climate changes in MAT MAP and PDSI. Very interestin. Figure 2 & 3
