Authors,;Title,;Year;DOI;Link;QUIEN;FOREST_SI_NO;ESTADISTICO_SI_NO;METHODOLOGY_1;FOREST_RESPONSE_1;PARAMETER;
"Moreau G.; Achim A.; Pothier D.,";An accumulation of climatic stress events has led to years of reduced growth for sugar maple in southern Quebec, Canada,;2020;10.1002/ecs2.3183;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088819352&doi=10.1002%2fecs2.3183&partnerID=40&md5=b9cac99d271236e70595576d37a5da92;Cesar;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Gao S.; Zhou T.; Yi C.; Shi P.; Fang W.; Liu R.; Liang E.; Julio Camarero J.,";Asymmetric impacts of dryness and wetness on tree growth and forest coverage,;2020;10.1016/j.agrformet.2020.107980;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081997850&doi=10.1016%2fj.agrformet.2020.107980&partnerID=40&md5=a08aef1caca600677a076add42cde2af;Cesar;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Rukh S.; Poschenrieder W.; Heym M.; Pretzsch H.,";Drought resistance of Norway spruce (Picea abies [L.] Karst) and european beech (Fagus sylvatica [L.]) in mixed vs. monospecific stands and on dry vs. wet sites. from evidence at the tree level to relevance at the stand level,;2020;10.3390/F11060639;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087510254&doi=10.3390%2fF11060639&partnerID=40&md5=66e3ad95cb7358e2c820e6969b0cc2e9;Cesar;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Au T.F.; Maxwell J.T.; Novick K.A.; Robeson S.M.; Warner S.M.; Lockwood B.R.; Phillips R.P.; Harley G.L.; Telewski F.W.; Therrell M.D.; Pederson N.,";Demographic shifts in eastern US forests increase the impact of late-season drought on forest growth,;2020;10.1111/ecog.05055;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087813188&doi=10.1111%2fecog.05055&partnerID=40&md5=e8b771b126b296e44fa2942f8db48954;Julen;SI;SI;Dendrochronology;Tree growth;Observed-predicted;
"Matisons R.; Elferts D.; Kriš?ns O.; Schneck V.; Gärtner H.; Bast A.; Wojda T.; Kowalczyk J.; Jansons ?.,";Non-linear regional weather-growth relationships indicate limited adaptability of the eastern Baltic Scots pine,;2021;10.1016/j.foreco.2020.118600;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091256679&doi=10.1016%2fj.foreco.2020.118600&partnerID=40&md5=036d627cd64cbe8305d1e2e007a2bf1f;Cesar;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Matisons R.; Elferts D.; Kriš?ns O.; Schneck V.; Gärtner H.; Wojda T.; Kowalczyk J.; Jansons ?.,";Nonlinear weather–growth relationships suggest disproportional growth changes of norway spruce in the eastern baltic region,;2021;10.3390/f12060661;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107313399&doi=10.3390%2ff12060661&partnerID=40&md5=f266ca26d33b2c299b7cdf14635d60b8;Cesar;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Jiao L.; Chen K.; Liu X.; Qi C.; Xue R.,";Comparison of the response stability of Siberian larch to climate change in the Altai and Tianshan,;2021;10.1016/j.ecolind.2021.107823;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107038859&doi=10.1016%2fj.ecolind.2021.107823&partnerID=40&md5=a0afc9a9cf8c76dd29bbe8fd9458909d;Cesar;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Stolz J.; van der Maaten E.; Kalanke H.; Martin J.; Wilmking M.; van der Maaten-Theunissen M.,";Increasing climate sensitivity of beech and pine is not mediated by adaptation and soil characteristics along a precipitation gradient in northeastern Germany,;2021;10.1016/j.dendro.2021.125834;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104335607&doi=10.1016%2fj.dendro.2021.125834&partnerID=40&md5=d4525e6b5bac6a19cb493387ab5960a3;Cesar;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Carnicer J.; Vives-Ingla M.; Blanquer L.; Méndez-Camps X.; Rosell C.; Sabaté S.; Gutiérrez E.; Sauras T.; Peñuelas J.; Barbeta A.,";Forest resilience to global warming is strongly modulated by local-scale topographic, microclimatic and biotic conditions,;2021;10.1111/1365-2745.13752;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114142927&doi=10.1111%2f1365-2745.13752&partnerID=40&md5=2af87dbac0491ce7fbe6a66929908393;Cesar;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Klisz M.; Jevšenak J.; Prokopuk Y.; Gil W.; Mohytych V.; Pucha?ka R.,";Coping with Central European climate – xylem adjustment in seven non-native conifer tree species,;2022;10.12657/denbio.088.008;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145180119&doi=10.12657%2fdenbio.088.008&partnerID=40&md5=7480e34de4adf5d2019cb270b8512fa2;Paloma;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Wang B.; Chen T.; Xu G.; Wu G.; Liu G.,";Management can mitigate drought legacy effects on the growth of a moisture-sensitive conifer tree species,;2023;10.1016/j.foreco.2023.121196;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162132632&doi=10.1016%2fj.foreco.2023.121196&partnerID=40&md5=0b99a5a8277b436c1f43d7efff5fa356;Xavi;SI;SI;Dendrochronology;Tree growth;Observed-predicted;
"Hirsch F.; Schneider A.; van der Maaten-Theunissen M.; van der Maaten E.; Räbiger C.; Raab A.; Raab T.,";Soil properties and tree growth at medieval ridge and furrow sites in Brandenburg, northeastern Germany,;2023;10.1002/jpln.202200345;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159066989&doi=10.1002%2fjpln.202200345&partnerID=40&md5=b087b02be27593f0946d22e773185eaf;Xavi;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Cui J.; Li Z.; Sun Y.; Zhao S.; Zhu Q.; Shen J.,";Daily variations in radial growth of Pinus massoniana trunk and its response to precipitation,;2023;10.5004/dwt.2023.30034;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197178807&doi=10.5004%2fdwt.2023.30034&partnerID=40&md5=f822fe985576bc7edbc51254de491fdf;Xavi;SI ;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Dudney J.; Latimer A.M.; van Mantgem P.; Zald H.; Willing C.E.; Nesmith J.C.B.; Cribbs J.; Milano E.,";The energy–water limitation threshold explains divergent drought responses in tree growth, needle length, and stable isotope ratios,;2023;10.1111/gcb.16740;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159285160&doi=10.1111%2fgcb.16740&partnerID=40&md5=78eb59b4bd5af473fa8e032ca5bbdc0b;Xavi;SI ;SI ;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Wang X.; Jiao L.; Xue R.; Zhang P.; Du D.; Wei M.; Li Q.,";Radial growth in Qinghai spruce is most sensitive to severe drought in the Qilian Mountains of Northwest China,;2024;10.1007/s11676-024-01697-8;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185131126&doi=10.1007%2fs11676-024-01697-8&partnerID=40&md5=76917df3ba8a066c14d9f89c36fa2728;Xavi;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Liang R.; Wang Y.; Sun Y.; zhu Z.; Li R.,";Effectiveness of thinning in mitigating post-drought legacy effects on Chinese fir in subtropical plantation forests, Southeastern China,;2024;10.1016/j.dendro.2024.126235;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198752948&doi=10.1016%2fj.dendro.2024.126235&partnerID=40&md5=47a28f26816e833c8e9873ff2dff7120;Xavi;SI;SI;Dendrochronology;Tree growth;Observed-predicted;
"Zheng J.; Yang J.; Jia H.; Lyu L.; Langzhen J.; Zhang Q.-B.,";Changes of growth-climate relationships of Smith fir forests along an altitudinal gradient,;2024;10.1007/s11676-024-01731-9;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189931478&doi=10.1007%2fs11676-024-01731-9&partnerID=40&md5=f0c4a3ae548e84632e472d62ffb5dfa6;Xavi;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Leifsson C.; Buras A.; Klesse S.; Baittinger C.; Bat-Enerel B.; Battipaglia G.; Biondi F.; Staji? B.; Budeanu M.; ?ada V.; Cavin L.; Claessens H.; ?ufar K.; de Luis M.; Dorado-Liñán I.; Dulamsuren C.; Garamszegi B.; Grabner M.; Hacket-Pain A.; Hansen J.K.; Hartl C.; Huang W.; Janda P.; Jump A.S.; Kazimirovi? M.; Knutzen F.; Kreyling J.; Land A.; Latte N.; Lebourgeois F.; Leuschner C.; Longares L.A.; Martinez del Castillo E.; Menzel A.; Motta R.; Muffler-Weigel L.; Nola P.; Panayatov M.; Petritan A.M.; Petritan I.C.; Popa I.; Roibu C.-C.; Rubio-Cuadrado Á.; Rydval M.; Scharnweber T.; Camarero J.J.; Svoboda M.; Toromani E.; Trotsiuk V.; van der Maaten-Theunissen M.; van der Maaten E.; Weigel R.; Wilmking M.; Zlatanov T.; Rammig A.; Zang C.S.,";Identifying drivers of non-stationary climate-growth relationships of European beech,;2024;10.1016/j.scitotenv.2024.173321;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194328755&doi=10.1016%2fj.scitotenv.2024.173321&partnerID=40&md5=975004e081e2308359c6fadb716962c4;Xavi;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Fernández-Blas C.; Ruiz-Benito P.; Gazol A.; Granda E.; Samblás E.; Granado-Díaz I.; Zavala M.A.; Valeriano C.; Camarero J.J.,";Historical forest use constrains tree growth responses to drought: A case study on tapped maritime pine (Pinus pinaster),;2024;10.1016/j.tfp.2024.100699;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205506173&doi=10.1016%2fj.tfp.2024.100699&partnerID=40&md5=3383d3b8c31a3130ec2749b4db6ef611;Xavi;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Bose A.K.; Doležal J.; Scherrer D.; Altman J.; Ziche D.; Martínez-Sancho E.; Bigler C.; Bolte A.; Colangelo M.; Dorado-Liñán I.; Drobyshev I.; Etzold S.; Fonti P.; Gessler A.; Kolá? T.; Ko?asová E.; Korznikov K.A.; Lebourgeois F.; Lucas-Borja M.E.; Menzel A.; Neuwirth B.; Nicolas M.; Omelko A.M.; Pederson N.; Petritan A.M.; Rigling A.; Rybní?ek M.; Scharnweber T.; Schröder J.; Silla F.; Sochová I.; Sohar K.; Ukhvatkina O.N.; Vozmishcheva A.S.; Zweifel R.; Camarero J.J.,";Revealing legacy effects of extreme droughts on tree growth of oaks across the Northern Hemisphere,;2024;10.1016/j.scitotenv.2024.172049;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189695399&doi=10.1016%2fj.scitotenv.2024.172049&partnerID=40&md5=4650335bccdf7b14d20064b1d34fbd0a;Xavi;SI;SI;Dendrochronology;Tree growth;Observed-predicted;
"Italiano S.S.P.; Camarero J.J.; Borghetti M.; Colangelo M.; Rita A.; Ripullone F.,";Drought legacies in mixed Mediterranean forests: Analysing the effects of structural overshoot, functional traits and site factors,;2024;10.1016/j.scitotenv.2024.172166;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190273479&doi=10.1016%2fj.scitotenv.2024.172166&partnerID=40&md5=2def9201d8fab97681159f461df1f7bf;Xavi;SI;SI ;Dendrochronology;Tree growth;Observed-predicted;
"Wan Y.; Yu P.; Wang Y.; Li J.; Bai Y.; Yu Y.; Liu B.; Wei X.,";More tree growth reduction due to consecutive drought and its legacy effect for a semiarid larch plantation in Northwest China,;2024;10.1007/s11676-023-01691-6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182956390&doi=10.1007%2fs11676-023-01691-6&partnerID=40&md5=d40308f863d345b0e523c71069c02b0c;Xavi;SI;SI ;Dendrochronology;Tree growth;Observed-predicted;
"Du M.; Xu C.; Wang A.; Lv P.; Xu Z.; Zhang X.,";Different drought recovery strategy between Larix spp. and Quercus mongolica in temperate forests,;2024;10.1016/j.scitotenv.2024.173521;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194393695&doi=10.1016%2fj.scitotenv.2024.173521&partnerID=40&md5=3ee82848b2a705d1e941b95838ea0395;Xavi;SI;SI ;Dendrochronology;Tree growth;Observed-predicted;
"González de Andrés E.; Rosas T.; Camarero J.J.; Martínez-Vilalta J.,";The intraspecific variation of functional traits modulates drought resilience of European beech and pubescent oak,;2021;10.1111/1365-2745.13743;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112618423&doi=10.1111%2f1365-2745.13743&partnerID=40&md5=8469e3639afbf9fbadadf5031b88cc2e;Paloma;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Du D.; Jiao L.; Chen K.; Liu X.; Qi C.; Xue R.; Wu X.,";Response stability of radial growth of Chinese pine to climate change at different altitudes on the southern edge of the Tengger Desert,;2022;10.1016/j.gecco.2022.e02091;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126971886&doi=10.1016%2fj.gecco.2022.e02091&partnerID=40&md5=cd7719c17286125809cbac23ea25bbba;Paloma;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Dulamsuren C.; Bat-Enerel B.; Meyer P.; Leuschner C.,";Did stand opening 60 years ago predispose a European beech population to death?,;2022;10.1016/j.tfp.2022.100265;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129078169&doi=10.1016%2fj.tfp.2022.100265&partnerID=40&md5=553c9cf8438cf616d8d0cfec5a046065;Paloma;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Leifsson C.; Buras A.; Rammig A.; Zang C.,";Changing climate sensitivity of secondary growth following extreme drought events in forest ecosystems: a global analysis,;2023;10.1088/1748-9326/aca9e5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146069989&doi=10.1088%2f1748-9326%2faca9e5&partnerID=40&md5=ff39ce3d016244c85839702d93627369;Paloma;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"He R.; Wang X.; Liu T.; Guo L.; Wang B.; Khan A.,";Impact of competition on the growth of Pinus tabulaeformis in response to climate on the Loess Plateau of China,;2022;10.1007/s11258-021-01214-5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122956826&doi=10.1007%2fs11258-021-01214-5&partnerID=40&md5=d709cce027b976ad1b4f79774fe604c7;Paloma;SI;SI;Dendrochronology;Tree growth;Other;
"Cao J.; Liu H.; Zhao B.; Peng R.; Liang B.; Anenkhonov O.A.; Korolyuk A.Y.; Sandanov D.V.,";Mixed forest suffered less drought stress than pure forest in southern Siberia,;2022;10.1016/j.agrformet.2022.109137;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136085286&doi=10.1016%2fj.agrformet.2022.109137&partnerID=40&md5=c0ba710bd2d463daffdd58eec24a9eca;Paloma;SI;SI;Dendrochronology;Tree growth;Observed-predicted;
"Hernández-Alonso H.; Madrigal-González J.; Silla F.,";The ecological scale mediates whether trees experience drought legacies in radial growth,;2023;10.1016/j.fecs.2023.100112;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153106763&doi=10.1016%2fj.fecs.2023.100112&partnerID=40&md5=9ecef394c998e0e50055ecc2ccdeb340;Paloma;SI;SI;Dendrochronology;Tree growth;Observed-predicted;
"Lévesque M.; Andreu-Hayles L.; D’Arrigo R.; Oelkers R.; Buckley B.M.,";Nonlinear Growth and Physiological Responses of White Spruce at North American Arctic Treeline,;2023;10.1029/2022JG007096;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153872869&doi=10.1029%2f2022JG007096&partnerID=40&md5=3b10910539d0de382aac7d69e29429db;Paloma;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Peltier D.M.P.; Ogle K.,";Legacies of more frequent drought in ponderosa pine across the western United States,;2019;10.1111/gcb.14720;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068528577&doi=10.1111%2fgcb.14720&partnerID=40&md5=c213a4f2cac11df7e63097f6af4b57d2;Cesar;SI;SI;Dendrochronology;Tree growth;Other;
"Liu P.; Barr A.G.; Zha T.; Black T.A.; Jassal R.S.; Nesic Z.; Helgason W.D.; Jia X.; Tian Y.,";Re-assessment of the climatic controls on the carbon and water fluxes of a boreal aspen forest over 1996–2016: Changing sensitivity to long-term climatic conditions,;2022;10.1111/gcb.16218;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129982122&doi=10.1111%2fgcb.16218&partnerID=40&md5=8b71ef449e9542d2b2cdd241c23398f6;Paloma;SI;SI;Eddy covariance;Biomass stocks and fluxes;Moving correlation;Change in forest responses to climate not evaluated
"Pohl F.; Werban U.; Kumar R.; Hildebrandt A.; Rebmann C.,";Observational evidence of legacy effects of the 2018 drought on a mixed deciduous forest in Germany,;2023;10.1038/s41598-023-38087-9;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163966786&doi=10.1038%2fs41598-023-38087-9&partnerID=40&md5=7de8655e0d7b6b12927d5d0638977758;Xavi;SI;SI;Eddy covariance;Biomass stocks and fluxes;Periods-Years-Interaction;
"Xu S.; Gentine P.; Li L.; Wang L.; Yu Z.; Dong N.; Ju Q.; Zhang Y.,";Response of Ecosystem Productivity to High Vapor Pressure Deficit and Low Soil Moisture: Lessons Learned From the Global Eddy-Covariance Observations,;2023;10.1029/2022EF003252;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168994411&doi=10.1029%2f2022EF003252&partnerID=40&md5=60a3bf310891209c073edd8f6e0ecf19;Xavi;SI;SI;Eddy covariance;Biomass stocks and fluxes;Periods-Years-Interaction;
"Han L.; Chen Y.; Wang Y.; Sun Y.; Ding Z.; Zhang H.; Tang X.,";Divergent responses of subtropical evergreen and deciduous forest carbon cycles to the summer 2022 drought,;2024;10.1088/1748-9326/ad416e;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192269206&doi=10.1088%2f1748-9326%2fad416e&partnerID=40&md5=ba29fe93c3936997c92cdd1e65d0ba3f;Xavi;SI;SI;Eddy covariance;Biomass stocks and fluxes;Periods-Years-Interaction;
"Yu X.; Orth R.; Reichstein M.; Bahn M.; Klosterhalfen A.; Knohl A.; Koebsch F.; Migliavacca M.; Mund M.; Nelson J.A.; Stocker B.D.; Walther S.; Bastos A.,";Contrasting drought legacy effects on gross primary productivity in a mixed versus pure beech forest,;2022;10.5194/bg-19-4315-2022;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140462284&doi=10.5194%2fbg-19-4315-2022&partnerID=40&md5=af355bf5496368abd0a4cde4740e3680;Paloma;SI;SI;Eddy covariance;Biomass stocks and fluxes;Observed-predicted;
"Gómez-Aparicio L.; Pérez-Ramos I.M.; Mendoza I.; Matías L.; Quero J.L.; Castro J.; Zamora R.; Marañón T.,";Oak seedling survival and growth along resource gradients in Mediterranean forests: Implications for regeneration in current and future environmental scenarios,;2008;10.1111/j.1600-0706.2008.16814.x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-55049121857&doi=10.1111%2fj.1600-0706.2008.16814.x&partnerID=40&md5=289359866624095a3c7446c491fea2ed;Xavi;SI;SI;Experimental;Demography;Periods-Years-Interaction;
"Pérez-Ramos I.M.; Rodríguez-Calcerrada J.; Ourcival J.M.; Rambal S.,";Quercus ilex recruitment in a drier world: A multi-stage demographic approach,;2013;10.1016/j.ppees.2012.12.005;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875527478&doi=10.1016%2fj.ppees.2012.12.005&partnerID=40&md5=642cf9c2aa0ee858da4965d2869f054e;Xavi;SI;SI;Experimental;Demography;Periods-Years-Interaction;
"Oberleitner F.; Hartmann H.; Hasibeder R.; Huang J.; Losso A.; Mayr S.; Oberhuber W.; Wieser G.; Bahn M.,";Amplifying effects of recurrent drought on the dynamics of tree growth and water use in a subalpine forest,;2022;10.1111/pce.14369;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132714436&doi=10.1111%2fpce.14369&partnerID=40&md5=7af98997e0a19dfc01bb9809ce1da0bb;Xavi;SI ;SI ;Experimental;Physiology;Periods-Years-Interaction;
"Oberleitner F.; Hartmann H.; Hasibeder R.; Huang J.; Losso A.; Mayr S.; Oberhuber W.; Wieser G.; Bahn M.,";Amplifying effects of recurrent drought on the dynamics of tree growth and water use in a subalpine forest,;2022;10.1111/pce.14369;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132714436&doi=10.1111%2fpce.14369&partnerID=40&md5=7af98997e0a19dfc01bb9809ce1da0bb;Xavi;SI ;SI ;Experimental;Tree growth;Periods-Years-Interaction;
"Laoué J.; Havaux M.; Ksas B.; Orts J.-P.; Reiter I.M.; Fernandez C.; Ormeno E.,";A decade of rain exclusion in a Mediterranean forest reveals trade-offs of leaf chemical defenses and drought legacy effects,;2024;10.1038/s41598-024-71417-z;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206510039&doi=10.1038%2fs41598-024-71417-z&partnerID=40&md5=0f4a3aabe887100b51b85786225c46f4;Xavi;SI;SI;Experimental;Physiology;Periods-Years-Interaction;
"Knüver T.; Bär A.; Ganthaler A.; Gebhardt T.; Grams T.E.E.; Häberle K.-H.; Hesse B.D.; Losso A.; Tomedi I.; Mayr S.; Beikircher B.,";Recovery after long-term summer drought: Hydraulic measurements reveal legacy effects in trunks of Picea abies but not in Fagus sylvatica,;2022;10.1111/plb.13444;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133054591&doi=10.1111%2fplb.13444&partnerID=40&md5=7b06af40848c8c7bf0681723f088627a;Paloma;SI;SI;Experimental;Physiology;Periods-Years-Interaction;
"Pacheco A.; Camarero J.J.; Carrer M.,";Shifts of irrigation in Aleppo pine under semi-arid conditions reveal uncoupled growth and carbon storage and legacy effects on wood anatomy,;2018;10.1016/j.agrformet.2018.02.018;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042476678&doi=10.1016%2fj.agrformet.2018.02.018&partnerID=40&md5=df513704c534d38de512df3d1809ecb1;Julen;SI;SI;Experimental;Tree growth;Periods-Years-Interaction;
